,NUM_BO,DELEGACIA,RUBRICA,MES,LATITUDE,LONGITUDE
169261,363639,DELEGACIA ELETRONICA          ,Roubo,3,-23.66902309,-46.49362433
340587,1543,54º D.P.  CID. TIRADENTES     ,Lesão corporal,3,-23.58195813,-46.39237375
208929,2506,27º D.P.  IBIRAPUERA          ,Roubo,3,-23.61968564,-46.66525121
197658,900055,101º D.P. JDIM IMBUIAS        ,Lesão corporal,3,-23.71119541,-46.69916595
99070,2178,69º D.P. TEOTONIO VILELA      ,Furto,3,-23.59734192,-46.51643814
247016,1021,28º D.P.  FREGUESIA DO O      ,Roubo,3,-23.482636499999998,-46.69678269
418505,1073,06º D.P. SANTO ANDRÉ          ,Roubo,3,-23.65640693,-46.53488801
537862,330521,DELEGACIA ELETRONICA          ,Roubo,3,-23.49309524,-46.4094143
99911,510,01ª DEL.DEF.MUL. CENTRO       ,Crime sexual,3,-23.55160066,-46.64461596
760873,437940,DELEGACIA ELETRONICA          ,Roubo,3,-23.53659508,-46.65580607
272879,1032,92º D.P. P. STO ANTONIO       ,Lesão corporal,3,-23.66987026,-46.73696203
181452,634,67º D.P. JARDIM ROBRU         ,Roubo,3,-23.51337092,-46.42609682
299257,395276,DELEGACIA ELETRONICA          ,Furto,3,-23.54972975,-46.63394244
537731,1033,85º D.P. JARDIM MIRNA         ,Roubo,3,-23.75569052,-46.69750006
487992,416240,DELEGACIA ELETRONICA          ,Furto,3,-23.6076451,-46.47847625
395742,351192,DELEGACIA ELETRONICA          ,Furto,3,-23.54531786,-46.76885642
352410,300254,DELEGACIA ELETRONICA          ,Roubo,3,-23.73706785,-46.66328965
621886,316238,DELEGACIA ELETRONICA          ,Furto,3,-23.74093453,-46.69148817
50665,2642,11º D.P. SANTO AMARO          ,Roubo,3,-23.55219227,-46.64592879999999
26274,410,01º D.P. ITAPECERICA DA SERRA ,Lesão corporal,3,-23.74376971,-46.79451695
408276,408437,DELEGACIA ELETRONICA          ,Furto,3,-23.51829788,-46.62512083
729537,620,58º D.P. VILA FORMOSA         ,Furto,3,-23.55666282,-46.5626411
103351,769,06º D.P. SANTO ANDRÉ          ,Furto,3,-23.69821268,-46.50845279
691687,297572,DELEGACIA ELETRONICA          ,Roubo,3,-23.42818347,-46.54717462
304445,2132,72º D.P. VILA PENTEADO        ,Roubo,3,-23.45581104,-46.67608253
490168,670,DEL.POL.SANTANA DE PARNAIBA   ,Furto,3,-23.4119294,-46.89196564
113381,2666,16º D.P. VILA CLEMENTINO      ,Roubo,3,-23.64948146,-46.64251965
695042,475722,DELEGACIA ELETRONICA          ,Furto,3,-23.52538635,-46.34294633
728637,856,66º D.P. JDIM ARICANDUVA      ,Roubo,3,-23.55610741,-46.49194687
758,325635,DELEGACIA ELETRONICA          ,Roubo,3,-23.69719576,-46.63336845
608888,661,DEL.POL.S.CAETANO DO SUL      ,Roubo,3,-23.60078432,-46.57701582
199526,1100,04º D.P. SANTO ANDRÉ          ,Crime sexual,3,-23.68704911,-46.50453897
50492,799,DEL.POL.EMBU DAS ARTES        ,Lesão corporal,3,-23.67285948,-46.79854689
367199,389368,DELEGACIA ELETRONICA          ,Roubo,3,-23.5416342,-46.65259912
642414,186,DHPP DIV. HOMICIDIOS          ,Roubo,3,-23.43127866,-46.72635568
230638,365432,DELEGACIA ELETRONICA          ,Roubo,3,-23.62746889,-46.44417761
474729,1272,03º D.P. DIADEMA              ,Roubo,3,-23.67782076,-46.60661228
631836,1086,01º D.P. MOGI DAS CRUZES      ,Furto,3,-23.55635018,-46.2226914
501173,370280,DELEGACIA ELETRONICA          ,Furto,3,-23.52712768,-46.66945623
521951,2420,03º D.P. S.BERNARDO DO CAMPO  ,Roubo,3,-23.72045742,-46.56881092
387643,295963,DELEGACIA ELETRONICA          ,Roubo,3,-23.70833246,-46.69117749
440309,385520,DELEGACIA ELETRONICA          ,Roubo,3,-23.59791489,-46.45550162
139609,1061,62º D.P. ERMELINO MATARAZZO   ,Lesão corporal,3,-23.47854166,-46.4963054
321873,606,01º D.P. ITAQUAQUECETUBA      ,Roubo,3,-23.45522105,-46.35052705
185517,718,95º D.P. HELIÓPOLIS           ,Roubo,3,-23.60387267,-46.60323891
266862,770,48º D.P.  CIDADE DUTRA        ,Lesão corporal,3,-23.70753558,-46.69184337
514152,2375,98º D.P. JARDIM MIRIAM        ,Furto,3,-23.68120048,-46.63838627
507202,2593,24º D.P.  PONTE RASA          ,Furto,3,-23.50597354,-46.50989896
399913,331428,DELEGACIA ELETRONICA          ,Roubo,3,-23.52724565,-46.66315902
435608,1390,64º D.P. CID.AE CARVALHO      ,Roubo,3,-23.53703341,-46.47438958
620753,2272,63º D.P. VILA JACUI           ,Roubo,3,-23.486521399999997,-46.4641581
77362,764,92º D.P. P. STO ANTONIO       ,Roubo,3,-23.6490906,-46.74289319
315768,1362,04º D.P. SANTO ANDRÉ          ,Furto,3,-23.65453001,-46.53386621
612223,2342,63º D.P. VILA JACUI           ,Roubo,3,-23.53733955,-46.4350768
32197,629,08º D.P. GUARULHOS            ,Roubo,3,-23.46177365,-46.47426025
401777,438786,DELEGACIA ELETRONICA          ,Furto,3,-23.5204514,-46.34014631
